Video_Id,Tittle,Name,Comment,Comment_Id,Time,Likes,Reply_Count,Label
0iLgiRBQzzs,Panas! Jokowi VS Prabowo Saling Serang soal Korupsi,Doharman Patimura Waruwu,https://youtu.be/LBKGyxnpMCU,Ugz-zdD0s87dSDzITuh4AaABAg,2019-01-17T23:06:24Z,0,0.0,spam
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,Akiru Syakir,Bantu subscribe youtube gw dong,UgwQM2OHIzkVDtu0PIN4AaABAg,2019-04-10T22:40:00Z,0,0.0,spam
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,Teguh Wage Prakoso,"hachimon tonkou, kalau buka gerbang ke 8 auto mati wkwkkw",Ugyh7dOOI2953Exf3cp4AaABAg.8tUY_eVh77e8tUhBosQJLg,2019-04-09T02:50:06Z,0,,spam
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,hidayah,https://www.youtube.com/channel/UC_iQ1hcNxz1irlkMO9fypLg,UgxA-h0VMWXoShPkFEZ4AaABAg,2019-04-10T12:25:49Z,0,0.0,spam
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,Derisma Ae,"https://youtu.be/aS1FIPcCuh4 CH: Derisma ae, minta SUBSCRIBE, di tunggu ea, terimakasih.",UgybtnYbYjDF7YZJAdN4AaABAg,2019-04-15T16:00:05Z,0,0.0,spam
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,GUGUS NTB_Si Luh Putu Sri Utari,"Om Swastyastu🙏
Hari Kartini sudah dekat! Dalam memperingati hari Kartini, kami dari kelas X MIPA 1 membuat sebuah short movie. Kami mohon review dan like dari teman teman semua untuk short movie kami. Satu like dari teman teman sangat membantu kami untuk berkarya lebih baik lagi. 😊😊
https://youtu.be/kahod9sN7R8

Terimakasih🙏🙏",UgzbWRmjT5OKeSSBtaN4AaABAg,2019-04-18T01:15:38Z,29,4.0,spam
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,Imin Bager,#JUSTICEFORAUDREY Semoga pelaku mendapatkan hukuman yang setimpal and STOP BULLYING !!,UgyDirf9Sa0zLsJ3JdV4AaABAg,2019-04-09T14:53:12Z,432,13.0,spam
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,Ainem Zainal,"Saya membuat konten how to, support channel yang ga seberapa ini ya kak . Boleh mampir .Klik subscribe",UgwH81ApqnQvHBjoODB4AaABAg,2019-04-09T18:41:52Z,0,0.0,spam
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,danu sa,Versi Karaokenya https://youtu.be/GV-5VRz9PlM,Ugys9zH1Un-Ds_dl15x4AaABAg.8trbxmcmHi-8tt6-cgtFZK,2019-04-18T23:36:38Z,0,,spam
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,bottle ultron,"mumpung masih anget yuk mampir ke youtube aku , ada film belok kanan barcelona",UgxsXY8BgBFUHqdGntN4AaABAg,2019-04-16T16:27:31Z,2,0.0,spam
