Video_Id,Tittle,Description,Name,Comment,Comment_Id,Time,Likes,Reply_Count,Label,cleanComment,cleanDesc,cleanTittle,LengthSentence,countUrl,WhiteSpacenum,StopwordRatio,WorldDuplicateRatio,CountEmoji,CountNonAscii,CountUpperLetters,SimilarityTitle,SimilarityDesc
0iLgiRBQzzs,Panas! Jokowi VS Prabowo Saling Serang soal Korupsi,Debat panas antara kedua pasangan calon presiden dan wakil presiden terus berlanjut. Keadaan makin sengit saat sesi ...,Doharman Patimura Waruwu,https://youtu.be/LBKGyxnpMCU,Ugz-zdD0s87dSDzITuh4AaABAg,2019-01-17 23:06:24,0.0,0.0,spam,https://youtu.be/lbkgyxnpmcu,debat panas antara kedua pasangan calon presiden dan wakil presiden terus berlanjut keadaan makin sengit saat sesi ,panas jokowi vs prabowo saling serang soal korupsi,0.0,0.0625,0.0,0.0,1.0,0.0,0.0,0.0170316301703163,0.0,0.0
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,SkinnyIndonesian24 ( Andovi da Lopez sebagai Jokowi dan Jovial da Lopez sebagai Prabowo) Hidup Indonesia! Siapa yang ...,Akiru Syakir,Bantu subscribe youtube gw dong,UgwQM2OHIzkVDtu0PIN4AaABAg,2019-04-10 22:40:00,0.0,0.0,spam,bantu subscribe youtube gw dong,skinnyindonesian24 andovi da lopez sebagai jokowi dan jovial da lopez sebagai prabowo hidup indonesia siapa yang ,skinnyindonesian24 prabowo vs jokowi epic rap battles of presidency,0.0,0.0,0.012539184952978056,0.0,1.0,0.0,0.0,0.0024330900243309003,0.0,0.0
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,SkinnyIndonesian24 ( Andovi da Lopez sebagai Jokowi dan Jovial da Lopez sebagai Prabowo) Hidup Indonesia! Siapa yang ...,Teguh Wage Prakoso,"hachimon tonkou, kalau buka gerbang ke 8 auto mati wkwkkw",Ugyh7dOOI2953Exf3cp4AaABAg.8tUY_eVh77e8tUhBosQJLg,2019-04-09 02:50:06,0.0,0.0,spam,hachimon tonkou kalau buka gerbang ke 8 auto mati wkwkkw,skinnyindonesian24 andovi da lopez sebagai jokowi dan jovial da lopez sebagai prabowo hidup indonesia siapa yang ,skinnyindonesian24 prabowo vs jokowi epic rap battles of presidency,0.0,0.0,0.02821316614420063,0.1,1.0,0.0,0.0,0.0,0.0,0.0
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,SkinnyIndonesian24 ( Andovi da Lopez sebagai Jokowi dan Jovial da Lopez sebagai Prabowo) Hidup Indonesia! Siapa yang ...,hidayah,https://www.youtube.com/channel/UC_iQ1hcNxz1irlkMO9fypLg,UgxA-h0VMWXoShPkFEZ4AaABAg,2019-04-10 12:25:49,0.0,0.0,spam,https://www.youtube.com/channel/uc_iq1hcnxz1irlkmo9fyplg,skinnyindonesian24 andovi da lopez sebagai jokowi dan jovial da lopez sebagai prabowo hidup indonesia siapa yang ,skinnyindonesian24 prabowo vs jokowi epic rap battles of presidency,0.0,0.0625,0.0,0.0,1.0,0.0,0.0,0.0170316301703163,0.0,0.0
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,SkinnyIndonesian24 ( Andovi da Lopez sebagai Jokowi dan Jovial da Lopez sebagai Prabowo) Hidup Indonesia! Siapa yang ...,Derisma Ae,"https://youtu.be/aS1FIPcCuh4 CH: Derisma ae, minta SUBSCRIBE, di tunggu ea, terimakasih.",UgybtnYbYjDF7YZJAdN4AaABAg,2019-04-15 16:00:05,0.0,0.0,spam,https://youtu.be/as1fipccuh4 ch derisma ae minta subscribe di tunggu ea terimakasih,skinnyindonesian24 andovi da lopez sebagai jokowi dan jovial da lopez sebagai prabowo hidup indonesia siapa yang ,skinnyindonesian24 prabowo vs jokowi epic rap battles of presidency,0.0,0.0625,0.02821316614420063,0.1,1.0,0.0,0.0,0.0413625304136253,0.0,0.0
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,SkinnyIndonesian24 ( Andovi da Lopez sebagai Jokowi dan Jovial da Lopez sebagai Prabowo) Hidup Indonesia! Siapa yang ...,GUGUS NTB_Si Luh Putu Sri Utari,"Om Swastyastu🙏
Hari Kartini sudah dekat! Dalam memperingati hari Kartini, kami dari kelas X MIPA 1 membuat sebuah short movie. Kami mohon review dan like dari teman teman semua untuk short movie kami. Satu like dari teman teman sangat membantu kami untuk berkarya lebih baik lagi. 😊😊
https://youtu.be/kahod9sN7R8

Terimakasih🙏🙏",UgzbWRmjT5OKeSSBtaN4AaABAg,2019-04-18 01:15:38,0.00033326055229317733,0.00819672131147541,spam,om swastyastu🙏 hari kartini sudah dekat dalam memperingati hari kartini kami dari kelas x mipa 1 membuat sebuah short movie kami mohon review dan like dari teman teman semua untuk short movie kami satu like dari teman teman sangat membantu kami untuk berkarya lebih baik lagi 😊😊 https://youtu.be/kahod9sn7r8 terimakasih🙏🙏,skinnyindonesian24 andovi da lopez sebagai jokowi dan jovial da lopez sebagai prabowo hidup indonesia siapa yang ,skinnyindonesian24 prabowo vs jokowi epic rap battles of presidency,0.23529411764705882,0.0625,0.15047021943573669,0.14285714285714285,0.7083333333333334,0.11904761904761904,0.11904761904761904,0.038929440389294405,0.0,0.030303030303030307
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,SkinnyIndonesian24 ( Andovi da Lopez sebagai Jokowi dan Jovial da Lopez sebagai Prabowo) Hidup Indonesia! Siapa yang ...,Imin Bager,#JUSTICEFORAUDREY Semoga pelaku mendapatkan hukuman yang setimpal and STOP BULLYING !!,UgyDirf9Sa0zLsJ3JdV4AaABAg,2019-04-09 14:53:12,0.0049644330548500905,0.02663934426229508,spam,#justiceforaudrey semoga pelaku mendapatkan hukuman yang setimpal and stop bullying ,skinnyindonesian24 andovi da lopez sebagai jokowi dan jovial da lopez sebagai prabowo hidup indonesia siapa yang ,skinnyindonesian24 prabowo vs jokowi epic rap battles of presidency,0.058823529411764705,0.0,0.03134796238244514,0.1,1.0,0.0,0.0,0.0705596107055961,0.0,0.14285714285714285
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,SkinnyIndonesian24 ( Andovi da Lopez sebagai Jokowi dan Jovial da Lopez sebagai Prabowo) Hidup Indonesia! Siapa yang ...,Ainem Zainal,"Saya membuat konten how to, support channel yang ga seberapa ini ya kak . Boleh mampir .Klik subscribe",UgwH81ApqnQvHBjoODB4AaABAg,2019-04-09 18:41:52,0.0,0.0,spam,saya membuat konten how to support channel yang ga seberapa ini ya kak boleh mampir klik subscribe,skinnyindonesian24 andovi da lopez sebagai jokowi dan jovial da lopez sebagai prabowo hidup indonesia siapa yang ,skinnyindonesian24 prabowo vs jokowi epic rap battles of presidency,0.058823529411764705,0.0,0.05329153605015674,0.29411764705882354,1.0,0.0,0.0,0.0072992700729927005,0.0,0.5
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,SkinnyIndonesian24 ( Andovi da Lopez sebagai Jokowi dan Jovial da Lopez sebagai Prabowo) Hidup Indonesia! Siapa yang ...,bottle ultron,"mumpung masih anget yuk mampir ke youtube aku , ada film belok kanan barcelona",UgxsXY8BgBFUHqdGntN4AaABAg,2019-04-16 16:27:31,2.2983486365046714e-05,0.0,spam,mumpung masih anget yuk mampir ke youtube aku ada film belok kanan barcelona,skinnyindonesian24 andovi da lopez sebagai jokowi dan jovial da lopez sebagai prabowo hidup indonesia siapa yang ,skinnyindonesian24 prabowo vs jokowi epic rap battles of presidency,0.0,0.0,0.04075235109717868,0.2307692307692308,1.0,0.0,0.0,0.0,0.0,0.0
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,SkinnyIndonesian24 ( Andovi da Lopez sebagai Jokowi dan Jovial da Lopez sebagai Prabowo) Hidup Indonesia! Siapa yang ...,Mujahid Muda Chanel,Inilah tanggapan masyrakat papua barat tentang pak jokowi :https://youtu.be/17idp3iLGwM,UgyVh3dHCmpeTmt10GV4AaABAg,2019-04-12 22:40:24,0.0,0.0,spam,inilah tanggapan masyrakat papua barat tentang pak jokowi https://youtu.be/17idp3ilgwm,skinnyindonesian24 andovi da lopez sebagai jokowi dan jovial da lopez sebagai prabowo hidup indonesia siapa yang ,skinnyindonesian24 prabowo vs jokowi epic rap battles of presidency,0.0,0.0625,0.025078369905956112,0.1111111111111111,1.0,0.0,0.0,0.009732360097323601,0.3333333333333333,0.05555555555555555
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,SkinnyIndonesian24 ( Andovi da Lopez sebagai Jokowi dan Jovial da Lopez sebagai Prabowo) Hidup Indonesia! Siapa yang ...,Irongolem gaming,Apa pun coblosnya tetapi teh botol sosro,Ugw9mHGZ33qx-QPxQQl4AaABAg,2019-04-23 07:19:38,1.1491743182523357e-05,0.0,spam,apa pun coblosnya tetapi teh botol sosro,skinnyindonesian24 andovi da lopez sebagai jokowi dan jovial da lopez sebagai prabowo hidup indonesia siapa yang ,skinnyindonesian24 prabowo vs jokowi epic rap battles of presidency,0.0,0.0,0.018808777429467086,0.2857142857142857,1.0,0.0,0.0,0.0024330900243309003,0.0,0.0
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,SkinnyIndonesian24 ( Andovi da Lopez sebagai Jokowi dan Jovial da Lopez sebagai Prabowo) Hidup Indonesia! Siapa yang ...,COCOROBET,https://youtu.be/26sdCLuGLYk,UgyUsvM2Ur_fg9WpaT94AaABAg,2019-04-09 03:29:03,0.0,0.0,spam,https://youtu.be/26sdcluglyk,skinnyindonesian24 andovi da lopez sebagai jokowi dan jovial da lopez sebagai prabowo hidup indonesia siapa yang ,skinnyindonesian24 prabowo vs jokowi epic rap battles of presidency,0.0,0.0625,0.0,0.0,1.0,0.0,0.0,0.012165450121654502,0.0,0.0
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,SkinnyIndonesian24 ( Andovi da Lopez sebagai Jokowi dan Jovial da Lopez sebagai Prabowo) Hidup Indonesia! Siapa yang ...,Allexa Xander,siapapun presidennya TEH BOTOL SOSRO minumanya👍,UgzXKDR4vYkGjp9gKIx4AaABAg,2019-04-09 12:31:43,0.0,0.0,spam,siapapun presidennya teh botol sosro minumanya👍,skinnyindonesian24 andovi da lopez sebagai jokowi dan jovial da lopez sebagai prabowo hidup indonesia siapa yang ,skinnyindonesian24 prabowo vs jokowi epic rap battles of presidency,0.0,0.0,0.01567398119122257,0.0,1.0,0.023809523809523808,0.023809523809523808,0.031630170316301706,0.0,0.0
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,SkinnyIndonesian24 ( Andovi da Lopez sebagai Jokowi dan Jovial da Lopez sebagai Prabowo) Hidup Indonesia! Siapa yang ...,7Vibes Lyrics,Top 5 anime fighting scene,UgwkPC34r3WLROCR8LN4AaABAg,2021-03-30 12:02:19,1.1491743182523357e-05,0.0,spam,top 5 anime fighting scene,skinnyindonesian24 andovi da lopez sebagai jokowi dan jovial da lopez sebagai prabowo hidup indonesia siapa yang ,skinnyindonesian24 prabowo vs jokowi epic rap battles of presidency,0.0,0.0,0.012539184952978056,0.0,1.0,0.0,0.0,0.0024330900243309003,0.0,0.0
