Video_Id,Tittle,Name,Comment,Comment_Id,Time,Likes,Reply_Count,Label,Length_Comment,cleaned_title,cleaned_comment_1,cleaned_comment_2,cleaned_comment_3,Count_Url,Url_Ratio,Number_White_Space,World_Duplicate_Ratio,Count_Emoji,Count_non_ascii,Count_upper_letters
0iLgiRBQzzs,Panas! Jokowi VS Prabowo Saling Serang soal Korupsi,Doharman Patimura Waruwu,https://youtu.be/LBKGyxnpMCU,Ugz-zdD0s87dSDzITuh4AaABAg,2019-01-17 23:06:24,0,0,spam,28,Panas  Jokowi VS Prabowo Saling Serang soal Korupsi,,https youtu.be/lbkgyxnpmcu,,1,1.0,0,0.03571428571428571,0,0,7
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,Akiru Syakir,Bantu subscribe youtube gw dong,UgwQM2OHIzkVDtu0PIN4AaABAg,2019-04-10 22:40:00,0,0,spam,31,SkinnyIndonesian24   Prabowo VS Jokowi - Epic Rap Battles Of Presidency,bantu subscribe youtube saya,bantu subscribe youtube saya,bantu subscribe youtube saya,0,0.0,4,0.18518518518518517,0,0,1
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,Teguh Wage Prakoso,"hachimon tonkou, kalau buka gerbang ke 8 auto mati wkwkkw",Ugyh7dOOI2953Exf3cp4AaABAg.8tUY_eVh77e8tUhBosQJLg,2019-04-09 02:50:06,0,0,spam,57,SkinnyIndonesian24   Prabowo VS Jokowi - Epic Rap Battles Of Presidency,hachimon tonkou kalau buka gerbang 8 langsung mati wkwkkw,hachimon tonkou kalau buka gerbang 8 langsung mati wkwkkw,hachimon tonkou kalau buka gerbang langsung mati wkwkkw,0,0.0,9,0.20833333333333334,0,0,0
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,hidayah,https://www.youtube.com/channel/UC_iQ1hcNxz1irlkMO9fypLg,UgxA-h0VMWXoShPkFEZ4AaABAg,2019-04-10 12:25:49,0,0,spam,56,SkinnyIndonesian24   Prabowo VS Jokowi - Epic Rap Battles Of Presidency,,https www.youtube.com/channel/uc_iq1hcnxz1irlkmo9fyplg,,1,1.0,0,0.017857142857142856,0,0,7
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,Derisma Ae,"https://youtu.be/aS1FIPcCuh4 CH: Derisma ae, minta SUBSCRIBE, di tunggu ea, terimakasih.",UgybtnYbYjDF7YZJAdN4AaABAg,2019-04-15 16:00:05,0,0,spam,88,SkinnyIndonesian24   Prabowo VS Jokowi - Epic Rap Battles Of Presidency,ch derisma ae minta subscribe tunggu ea terima kasih,https youtu.be/as1fipccuh4 ch derisma minta subscribe tunggu terima kasih,ch derisma ae minta subscribe tunggu ea terima kasih,1,0.3181818181818182,9,0.12658227848101267,0,0,17
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,GUGUS NTB_Si Luh Putu Sri Utari,"Om Swastyastu🙏
Hari Kartini sudah dekat! Dalam memperingati hari Kartini, kami dari kelas X MIPA 1 membuat sebuah short movie. Kami mohon review dan like dari teman teman semua untuk short movie kami. Satu like dari teman teman sangat membantu kami untuk berkarya lebih baik lagi. 😊😊
https://youtu.be/kahod9sN7R8

Terimakasih🙏🙏",UgzbWRmjT5OKeSSBtaN4AaABAg,2019-04-18 01:15:38,29,4,spam,327,SkinnyIndonesian24   Prabowo VS Jokowi - Epic Rap Battles Of Presidency,swastyastu🙏 hari kartini dalam memperingati hari kartini kami dari kelas mipa 1 membuat sebuah short movie kami mohon ulasan dari teman teman semua untuk short movie kami satu dari teman teman sangat membantu kami untuk berkarya lebih baik lagi 😊😊 terimakasih🙏🙏,swastyastu hari kartini memperingati hari kartini kelas mipa 1 membuat sebuah short movie mohon ulasan teman teman semua short movie satu teman teman sangat membantu berkarya lebih baik https youtu.be/kahod9sn7r8 terima kasih,swastyastu hari kartini memperingati hari kartini kelas mipa membuat sebuah short movie mohon ulasan teman teman semua short movie kami satu teman teman sangat membantu berkarya lebih baik lagi terima kasih,1,0.0856269113149847,48,0.16877637130801687,5,5,16
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,Imin Bager,#JUSTICEFORAUDREY Semoga pelaku mendapatkan hukuman yang setimpal and STOP BULLYING !!,UgyDirf9Sa0zLsJ3JdV4AaABAg,2019-04-09 14:53:12,432,13,spam,86,SkinnyIndonesian24   Prabowo VS Jokowi - Epic Rap Battles Of Presidency,justiceforaudrey semoga pelaku mendapatkan hukuman yang setimpal perundungan,justiceforaudrey semoga pelaku mendapatkan hukuman setimpal perundungan,justiceforaudrey semoga pelaku mendapatkan hukuman setimpal perundungan,0,0.0,10,0.14473684210526316,0,0,29
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,Ainem Zainal,"Saya membuat konten how to, support channel yang ga seberapa ini ya kak . Boleh mampir .Klik subscribe",UgwH81ApqnQvHBjoODB4AaABAg,2019-04-09 18:41:52,0,0,spam,102,SkinnyIndonesian24   Prabowo VS Jokowi - Epic Rap Battles Of Presidency,saya membuat konten untuk support channel yang tidak seberapa kak mampir klik subscribe,membuat konten support channel tidak seberapa kak mampir subscribe,membuat konten untuk support channel tidak seberapa kak mampir klik subscribe,0,0.0,17,0.21176470588235294,0,0,3
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,danu sa,Versi Karaokenya https://youtu.be/GV-5VRz9PlM,Ugys9zH1Un-Ds_dl15x4AaABAg.8trbxmcmHi-8tt6-cgtFZK,2019-04-18 23:36:38,0,0,spam,45,SkinnyIndonesian24   Prabowo VS Jokowi - Epic Rap Battles Of Presidency,versi karaokenya,versi karaokenya https youtu.be/gv-5vrz9plm,versi karaokenya,1,0.6222222222222222,2,0.06976744186046512,0,0,8
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,bottle ultron,"mumpung masih anget yuk mampir ke youtube aku , ada film belok kanan barcelona",UgxsXY8BgBFUHqdGntN4AaABAg,2019-04-16 16:27:31,2,0,spam,78,SkinnyIndonesian24   Prabowo VS Jokowi - Epic Rap Battles Of Presidency,mumpung masih hangat ayok mampir youtube aku ada film belok kanan barcelona,mumpung hangat ayok mampir youtube aku film belok kanan barcelona,mumpung hangat ayok mampir youtube aku film belok kanan barcelona,0,0.0,13,0.2153846153846154,0,0,0
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,Mujahid Muda Chanel,Inilah tanggapan masyrakat papua barat tentang pak jokowi :https://youtu.be/17idp3iLGwM,UgyVh3dHCmpeTmt10GV4AaABAg,2019-04-12 22:40:24,0,0,spam,87,SkinnyIndonesian24   Prabowo VS Jokowi - Epic Rap Battles Of Presidency,inilah tanggapan masyarakat papua barat tentang bapak jokowi,inilah tanggapan masyarakat papua barat bapak jokowi https youtu.be/17idp3ilgwm,inilah tanggapan masyarakat papua barat bapak jokowi,1,0.3218390804597701,8,0.11392405063291139,0,0,4
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,Irongolem gaming,Apa pun coblosnya tetapi teh botol sosro,Ugw9mHGZ33qx-QPxQQl4AaABAg,2019-04-23 07:19:38,1,0,spam,40,SkinnyIndonesian24   Prabowo VS Jokowi - Epic Rap Battles Of Presidency,apa coblosnya tetapi teh botol sosro,apa coblosnya teh botol sosro,apa coblosnya teh botol sosro,0,0.0,6,0.20588235294117646,0,0,1
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,COCOROBET,https://youtu.be/26sdCLuGLYk,UgyUsvM2Ur_fg9WpaT94AaABAg,2019-04-09 03:29:03,0,0,spam,28,SkinnyIndonesian24   Prabowo VS Jokowi - Epic Rap Battles Of Presidency,,https youtu.be/26sdcluglyk,,1,1.0,0,0.03571428571428571,0,0,5
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,Allexa Xander,siapapun presidennya TEH BOTOL SOSRO minumanya👍,UgzXKDR4vYkGjp9gKIx4AaABAg,2019-04-09 12:31:43,0,0,spam,47,SkinnyIndonesian24   Prabowo VS Jokowi - Epic Rap Battles Of Presidency,siapapun presidennya teh botol sosro minumanya👍,siapapun presidennya teh botol sosro minumanya,siapapun presidennya teh botol sosro minumanya,0,0.0,5,0.14285714285714285,1,1,13
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,7Vibes Lyrics,Top 5 anime fighting scene,UgwkPC34r3WLROCR8LN4AaABAg,2021-03-30 12:02:19,1,0,spam,26,SkinnyIndonesian24   Prabowo VS Jokowi - Epic Rap Battles Of Presidency,5 anime fighting scene,5 anime fighting scene,anime fighting scene,0,0.0,4,0.22727272727272727,0,0,1
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,Hobi Penting,"ijin numpang iklan gan


Malioboro Merupakan Tempat
Pariwisata di Kota Jogjakarta,Jogjakarta Menawarkan Keindahan Pariwisatanya
yang menjadi andalan Kota jogja karta,Bangi anda Yang Ingin Memiliki Hunian di
Jogjakarta Kami Menawarkan Green Tasneem Bangunjiwo,Terletak di Ringroad Selatan
Dekat Kampus UMY dan Hanya 20 Menit saja Ke Malioboro ,klik Url nya Jika
tertarik

https://www.youtube.com/watch?v=kxWUE15e1uQ&t=48s
Atau hubungi 085-640-570-773 Via WA",UgxumUAcg3A7QUQOBFZ4AaABAg,2019-04-17 05:21:10,0,0,spam,456,SkinnyIndonesian24   Prabowo VS Jokowi - Epic Rap Battles Of Presidency,izin menaruh iklan malioboro merupakan tempat pariwisata kota jogjakarta jogjakarta menawarkan keindahan pariwisatanya yang menjadi andalan kota jogja karta bangi anda yang ingin memiliki hunian jogjakarta kami menawarkan green tasneem bangunjiwo terletak ringroad selatan kampus umy hanya 20 menit malioboro klik url jika tertarik atau hubungi 085-640-570-773,izin menaruh iklan malioboro merupakan tempat pariwisata kota jogjakartajogjakarta menawarkan keindahan pariwisatanya menjadi andalan kota jogja kartabangi memiliki hunian jogjakarta menawarkan green tasneem bangunjiwoterletak ringroad selatan kampus umy 20 menit malioboro url tertarik https www.youtube.com/watch v=kxwue15e1uq t=48s hubungi 085640570773,izin menaruh iklan malioboro merupakan tempat pariwisata kota jogjakarta jogjakarta menawarkan keindahan pariwisatanya menjadi andalan kota jogja karta bangi memiliki hunian jogjakarta menawarkan green tasneem bangunjiwo terletak ringroad selatan kampus umy menit malioboro klik url tertarik hubungi,1,0.1074561403508772,55,0.13746630727762804,0,0,44
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,Yogi Coxs,Edotensi no jutsu,UgyYlUBHxBhTF8d00UR4AaABAg,2019-04-09 13:41:38,0,0,spam,17,SkinnyIndonesian24   Prabowo VS Jokowi - Epic Rap Battles Of Presidency,edotensi jutsu,edotensi jutsu,edotensi jutsu,0,0.0,2,0.2,0,0,1
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,ADKS CHANNEL,Yuk cek channel punya saya siapa tau ada yg manfaat,UgwljdPWiiriVD0qrYd4AaABAg,2019-04-10 13:20:52,0,0,spam,51,SkinnyIndonesian24   Prabowo VS Jokowi - Epic Rap Battles Of Presidency,ayok cek channel punya saya siapa tau ada manfaat,ayok cek channel punya siapa tau manfaat,ayok cek channel punya siapa tau manfaat,0,0.0,9,0.23809523809523808,0,0,1
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,Art of Nami dita,"Lihat gambar ku juga kak, ditunggu ya di chanell kuu",Ugz0uPy3m_Im3eMwIV14AaABAg,2020-03-26 02:45:49,0,0,spam,52,SkinnyIndonesian24   Prabowo VS Jokowi - Epic Rap Battles Of Presidency,lihat gambar aku juga kak ditunggu channel aku,lihat gambar aku kak ditunggu channel aku,lihat gambar aku kak ditunggu channel aku,0,0.0,9,0.23255813953488372,0,0,1
AP0NACavjfk,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,M A S R I S A,"Subscribe aku ya, nanti aku subscribe balik 😁🙏🏻",Ugy-LcFZNYHyCVu7wP14AaABAg,2020-03-08 19:12:45,0,0,spam,47,SkinnyIndonesian24   Prabowo VS Jokowi - Epic Rap Battles Of Presidency,subscribe aku ya aku subscribe kembali 😁🙏🏻,subscribe aku aku subscribe kembali,subscribe aku ya aku subscribe kembali,0,0.0,7,0.1891891891891892,2,3,1
