Video_Id,Tittle,Description,Name,Comment,Comment_Id,Time,Likes,Reply_Count,Label,cleanTittle,cleanComment,cleanDesc,LengthSentence,CommentLength,countUrl,WhiteSpacenum,StopwordRatio,WorldDuplicateRatio,CountEmoji,CountNonAscii,CountUpperLetters,SimilarityTitle,SimilarityDesc,LenComment,NameLen,UrlRatio,LexicalRichness,LexicalDensity,CommentRandomness,NameRandomness
1,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,SkinnyIndonesian24 ( Andovi da Lopez sebagai Jokowi dan Jovial da Lopez sebagai Prabowo) Hidup Indonesia! Siapa yang ...,winner winner chicken dinner,venven _ anjay kalahin tuh reposter sm channel hoax dulu,2382,2019-04-12 03:53:28,1,0,0,skinnyindonesian24 prabowo vs jokowi epic rap battles of presidency,venven _ anjay kalahin tuh reposter sm channel hoax dulu,skinnyindonesian24 andovi da lopez sebagai jokowi dan jovial da lopez sebagai prabowo hidup indonesia siapa yang ,1,10,0,9,0.0,1.0,0,0,0,0.0,0.0,56,28,0.0,100.0,10.0,0.0722396636271771,0.108985559131228
1,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,SkinnyIndonesian24 ( Andovi da Lopez sebagai Jokowi dan Jovial da Lopez sebagai Prabowo) Hidup Indonesia! Siapa yang ...,Indah Tenri Rukmana,"lagu terbaru yg tepat buat pecinta bapak PS 08🇮🇩🇮🇩

https://youtu.be/X1rbdEFv2Dkb",708,2020-08-09 11:51:39,0,0,1,skinnyindonesian24 prabowo vs jokowi epic rap battles of presidency,lagu terbaru yg tepat buat pecinta bapak ps 08🇮🇩🇮🇩 https://youtu.be/x1rbdefv2dkb,skinnyindonesian24 andovi da lopez sebagai jokowi dan jovial da lopez sebagai prabowo hidup indonesia siapa yang ,1,10,1,9,0.0,1.0,0,4,6,0.0,0.0,81,19,0.3580246913580246,85.71428571428571,80.0,0.0562070260455688,0.1916920990335213
1,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,SkinnyIndonesian24 ( Andovi da Lopez sebagai Jokowi dan Jovial da Lopez sebagai Prabowo) Hidup Indonesia! Siapa yang ...,Febrian Giovalentino,Perlu Edotensei Bung Karno Sama Bung Hatta 😂,2841,2019-04-09 19:35:39,0,0,0,skinnyindonesian24 prabowo vs jokowi epic rap battles of presidency,perlu edotensei bung karno sama bung hatta 😂,skinnyindonesian24 andovi da lopez sebagai jokowi dan jovial da lopez sebagai prabowo hidup indonesia siapa yang ,1,8,0,7,0.0,0.8571428571428571,1,1,7,0.0,0.1,44,20,0.0,87.5,75.0,0.0895888901275176,0.1773219672335507
1,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,SkinnyIndonesian24 ( Andovi da Lopez sebagai Jokowi dan Jovial da Lopez sebagai Prabowo) Hidup Indonesia! Siapa yang ...,Dhanisa Alfiyani,Kerennnn!!!!!..... banget sumpah,567,2019-04-12 14:52:56,0,0,0,skinnyindonesian24 prabowo vs jokowi epic rap battles of presidency,kerennnn banget sumpah,skinnyindonesian24 andovi da lopez sebagai jokowi dan jovial da lopez sebagai prabowo hidup indonesia siapa yang ,2,3,0,2,0.0,1.0,0,0,1,0.0,0.0,32,16,0.0,100.0,100.0,0.1606259661847525,0.2050399413893479
1,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,SkinnyIndonesian24 ( Andovi da Lopez sebagai Jokowi dan Jovial da Lopez sebagai Prabowo) Hidup Indonesia! Siapa yang ...,Lois Krista,Trending 1,1931,2019-04-09 13:38:39,1,0,0,skinnyindonesian24 prabowo vs jokowi epic rap battles of presidency,trending 1,skinnyindonesian24 andovi da lopez sebagai jokowi dan jovial da lopez sebagai prabowo hidup indonesia siapa yang ,1,2,0,1,0.0,1.0,0,0,1,0.0,0.0,10,11,0.0,100.0,50.0,0.3121928094887362,0.2814359322728122
1,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,SkinnyIndonesian24 ( Andovi da Lopez sebagai Jokowi dan Jovial da Lopez sebagai Prabowo) Hidup Indonesia! Siapa yang ...,Mex3 Production,https://www.youtube.com/watch?v=VPFtoVcEu20 YANG HOT YANG TRENDING,2437,2020-08-21 13:33:50,0,0,1,skinnyindonesian24 prabowo vs jokowi epic rap battles of presidency,https://www.youtube.com/watch?v=vpftovceu20 yang hot yang trending,skinnyindonesian24 andovi da lopez sebagai jokowi dan jovial da lopez sebagai prabowo hidup indonesia siapa yang ,1,5,1,4,0.2,0.8,0,0,24,0.0,0.0769230769230769,66,15,0.6515151515151515,80.0,40.0,0.0689817584719429,0.251570484151679
1,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,SkinnyIndonesian24 ( Andovi da Lopez sebagai Jokowi dan Jovial da Lopez sebagai Prabowo) Hidup Indonesia! Siapa yang ...,Anisa,Kerennnnnnn 😭,541,2019-04-09 10:06:32,0,0,0,skinnyindonesian24 prabowo vs jokowi epic rap battles of presidency,kerennnnnnn 😭,skinnyindonesian24 andovi da lopez sebagai jokowi dan jovial da lopez sebagai prabowo hidup indonesia siapa yang ,1,2,0,1,0.0,1.0,1,1,1,0.0,0.0625,13,5,0.0,100.0,0.0,0.1565339164581714,0.4643856189774724
1,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,SkinnyIndonesian24 ( Andovi da Lopez sebagai Jokowi dan Jovial da Lopez sebagai Prabowo) Hidup Indonesia! Siapa yang ...,Nizam Ayu,X sama mcm epic rap battle history.... Dasar niru aja lo~,2106,2019-04-09 15:01:03,0,0,0,skinnyindonesian24 prabowo vs jokowi epic rap battles of presidency,x sama mcm epic rap battle history dasar niru aja lo,skinnyindonesian24 andovi da lopez sebagai jokowi dan jovial da lopez sebagai prabowo hidup indonesia siapa yang ,1,11,0,10,0.0,1.0,0,0,2,0.6666666666666666,0.0,57,9,0.0,100.0,45.45454545454545,0.0747722020657578,0.3522138890491458
1,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,SkinnyIndonesian24 ( Andovi da Lopez sebagai Jokowi dan Jovial da Lopez sebagai Prabowo) Hidup Indonesia! Siapa yang ...,RIKUWA FAMILI,Mantapp skinnyindonesia🤘🤘🤘 andovi dan ka jovi mantap grakk,2723,2019-04-11 04:32:09,0,0,0,skinnyindonesian24 prabowo vs jokowi epic rap battles of presidency,mantapp skinnyindonesia🤘🤘🤘 andovi dan ka jovi mantap grakk,skinnyindonesian24 andovi da lopez sebagai jokowi dan jovial da lopez sebagai prabowo hidup indonesia siapa yang ,1,8,0,7,0.125,1.0,3,3,1,0.0,0.2,58,13,0.0,81.81818181818183,50.0,0.065681598622748,0.2446794605542647
1,SkinnyIndonesian24 | Prabowo VS Jokowi - Epic Rap Battles Of Presidency,SkinnyIndonesian24 ( Andovi da Lopez sebagai Jokowi dan Jovial da Lopez sebagai Prabowo) Hidup Indonesia! Siapa yang ...,Ilham kurniawan,Gua nonton vidio kaya orang makan tapi gak minum pasti kesedak kalo gak nonton ini kaya gak asik aja,522,2019-04-10 14:09:33,1,0,0,skinnyindonesian24 prabowo vs jokowi epic rap battles of presidency,gua nonton vidio kaya orang makan tapi gak minum pasti kesedak kalo gak nonton ini kaya gak asik aja,skinnyindonesian24 andovi da lopez sebagai jokowi dan jovial da lopez sebagai prabowo hidup indonesia siapa yang ,1,19,0,18,0.1578947368421052,0.7894736842105263,0,0,1,0.0,0.0,100,15,0.0,78.94736842105263,78.94736842105263,0.0365058857094634,0.2304376508087302
