Video_Id,Tittle,Name,Comment,Comment_Id,Time,Likes,Reply_Count
LU2p56QVUWA,Debat Jokowi Vs Prabowo Soal Ideologi &amp; Pemerintahan,DIMAS ALIIf N,"Klu saya lihat antara pak jokowi dn prabowo.ini versi aku aja mnurutku.
Pak jokowi orngnya disiplin tak ada kata losss dalam hidupnya.klu pak prabowo gmn y keknya mending simple no ribet.nk kesel y lereno rasah mok teruske.",UgzR002p1bfS5X1BHCh4AaABAg,2022-05-17T01:03:38Z,0,0
LU2p56QVUWA,Debat Jokowi Vs Prabowo Soal Ideologi &amp; Pemerintahan,Telor Ayam,NAH KAN TERBUKTI SEKARANG 2022,UgxsBbqxeQ5xWCjCB2p4AaABAg,2022-04-11T19:06:52Z,0,0
LU2p56QVUWA,Debat Jokowi Vs Prabowo Soal Ideologi &amp; Pemerintahan,Vivo Y12s,Jokowi semangat,Ugw71INuRJdRHZ888jx4AaABAg,2022-03-24T18:01:42Z,1,0
LU2p56QVUWA,Debat Jokowi Vs Prabowo Soal Ideologi &amp; Pemerintahan,Exorcist Noob,dalam 1 tahun tidak akan ada perang kok,UgzqXyrdHYHKONDgRsh4AaABAg,2022-03-09T05:24:43Z,1,0
LU2p56QVUWA,Debat Jokowi Vs Prabowo Soal Ideologi &amp; Pemerintahan,Nayef ahnaf al arif,....... Tanjung,UgwWVvOu8jCNG5mWhnp4AaABAg,2022-01-07T13:00:37Z,0,0
LU2p56QVUWA,Debat Jokowi Vs Prabowo Soal Ideologi &amp; Pemerintahan,Nayef ahnaf al arif,"Inayatul maula 

TALAK & RUJUK 

NIKAH",UgxoCN7BXvSLgFdNd4R4AaABAg,2022-01-07T12:58:45Z,0,0
LU2p56QVUWA,Debat Jokowi Vs Prabowo Soal Ideologi &amp; Pemerintahan,Nayef ahnaf al arif,"Nayef & lutfar 

Kelompok umroh 

Keluarga Tanjung 
Gerinting 
Karanganyar 

Keluarga umroh 
PP TANJUNG 
Ustadz Djasuli 

Kediaman 
Aba Jumhari Bakri",UgyXXKrvShY5HfIgRhN4AaABAg,2022-01-07T12:56:15Z,0,0
LU2p56QVUWA,Debat Jokowi Vs Prabowo Soal Ideologi &amp; Pemerintahan,Nayef ahnaf al arif,"Lutfar 
Deddy mizwar 
Kelompok 
Umroh 

Lutfar 
Pak Sarito 
Kelompok
Haji Wada 

Lutfar 
Pak Torawi 
Kelompok 
Manasik",UgwdlolIXj7ddND0CpN4AaABAg,2022-01-07T12:52:55Z,0,0
LU2p56QVUWA,Debat Jokowi Vs Prabowo Soal Ideologi &amp; Pemerintahan,Nayef ahnaf al arif,"Aba Jumhari Bakri 
Ummik Hatinah 

Aan Yuyun 
Jakkwan aurel 
Aiq kheina 
Muhammad nayef ahnaf al arif 
Nayef 

Faruk Uul 
Kevin amajk 
Kiai Haji muhammad zuhri zaini 
PT 
Kiai Haji Zaini mun'im 
Kiai Haji Fakih 

Om kevin 

Naylutfar Azzahra Aiqka Arif 
Naylutfar",UgxfSth-yoQAYuxraXB4AaABAg,2022-01-07T12:50:33Z,0,0
LU2p56QVUWA,Debat Jokowi Vs Prabowo Soal Ideologi &amp; Pemerintahan,ghara Z,mantap setelah menonton ini saya ingin menjadi presiden,UgzPj4WCUbBFAC2O40B4AaABAg,2021-11-11T13:54:28Z,0,0
